tokens,labels
"['gas', 'house', 'hit', 'i am', 'going', 'chapel', 'hill', 'sat', 'happy']",pos
"['theo', 'walcott', 'still', 'shit', 'watch', 'rafa', 'johnny', 'deal', 'saturday']",neg
"['not', 'i am', 'gsp', 'fan', 'just', 'hate', 'nick', 'diaz', 'can not', 'wait', 'february']",neg
"['iranian', 'general', 'say', 'israel is', 'iron', 'dome', 'can not', 'deal', 'missile', 'keep', 'talking', 'like', 'may', 'end', 'finding']",neg
"['j', 'davlar', 'main', 'rival', 'team', 'poland', 'hopefully', 'make', 'successful', 'end', 'tough', 'week', 'training', 'tomorrow']",pos
"['talking', 'act is', 'sat is', 'deciding', 'want', 'go', 'college', 'applying', 'college', 'everything', 'college', 'stress']",neg
"['happy', 'valentine', 'day', 'trending', 'it is', 'february', 'not', 'june', 'smh', '..']",neu
"['may', 'superbowl', 'dallas', 'dallas', 'ai not', 'winning', 'superbowl', 'not', 'quarterback', 'owner']",neg
"['im', 'bringing', 'monster', 'load', 'candy', 'tomorrow', 'just', 'hope', 'does not', 'get', 'squiched']",neu
"['apple', 'software', 'retail', 'chief', 'overhaul', 'san', 'francisco', 'apple', 'inc', 'ceo', 'tim', 'cook', 'monday', 'replaced', 'head', '...']",neu
"['just', 'watched', 'sridevi is', 'comeback', '...', 'u', 'remember', 'sun', 'morning', 'nta', ';)']",pos
"['#livewire', 'nadal', 'confirmed', 'mexican', 'open', 'february', 'rafael', 'nadal', 'set', 'play', '...', '#livewireathletics']",neu
"['didnt', 'want', 'just', 'pop', '...', 'yep', 'chapel', 'hill', 'next', 'wednesday', 'come', '..', 'shes', 'great', 'ill', 'tell', 'asked']",pos
"['hmmmm', 'november', 'odd', 'release', 'date', 'true', 'becomes', 'big', 'enough', 'maybe', 'sing', 'grammys']",neu
"['#iran', 'u', 'delisting', 'mko', 'global', 'terrorist', 'list', 'line', 'iran', 'campaign', 'tehran', 'oct', 'irna', 'secretary', '...']",neu
"['good', 'morning', 'becky', 'thursday', 'going', 'fantastic']",pos
"['expect', 'light-moderate', 'rain', 'e', 'visayas', 'cebu', 'bohol', 'samar', 'leyte', 'chance', 'rain', 'tonight', 'expect', 'fair', 'weather', 'tomorrow', 'happy']",neu
"['one', 'ticket', 'left', 'game', 'tomorrow', 'do not', 'miss', 'rematch', 'nfc', 'championship', 'game', 'ny', 'giant', 'hit']",pos
"['afc', 'away', 'fan', 'saturday', 'stuff', 'said', 'no', 'chant', 'it is', 'bollock', 'ball', 'just', 'turn', 'back']",neg
"['hard', 'find', 'day', 'went', 'store', 'castle', 'cover', 'issue', 'none', 'will', 'search', 'tomorrow', '...']",neg
"['game', 'nlcs', 'rematch', 'nfc', 'championship', 'game', 'tomorrow', 'sf is', 'gonna', 'cuuuuhraaaaaaaazeeeee']",neu
